"External Full Name","Level","External ID","Parent ID","openEPD Category","Material Properties","Comment"
"Building service engineering","1","8","","Unsupported {OtherMaterials >> Unsupported}","","Some categories are coming soon"
"Building service engineering -> Air conditioning and ventilation","2","8.2","8","Unsupported {OtherMaterials >> Unsupported}","","Coming soon"
"Building service engineering -> Air conditioning and ventilation -> Accessory","3","8.2.03","8.2","","",""
"Building service engineering -> Air conditioning and ventilation -> Air conditioning/cooling machines","3","8.2.02","8.2","","",""
"Building service engineering -> Air conditioning and ventilation -> Refrigerants","3","8.2.04","8.2","","",""
"Building service engineering -> Air conditioning and ventilation -> Ventilation system","3","8.2.01","8.2","","",""
"Building service engineering -> Conveyance","2","8.5","8","Unsupported {OtherMaterials >> Unsupported}","","Coming soon"
"Building service engineering -> Conveyance -> Elevator","3","8.5.01","8.5","","","Coming soon"
"Building service engineering -> Conveyance -> Escalator","3","8.5.02","8.5","","",""
"Building service engineering -> Electrical","2","8.4","8","Unsupported {OtherMaterials >> Unsupported}","","Coming soon"
"Building service engineering -> Electrical -> Batteries","3","8.4.05","8.4","","","Coming soon"
"Building service engineering -> Electrical -> Cable","3","8.4.01","8.4","","","Coming soon"
"Building service engineering -> Electrical -> Fuse and switch boxes","3","8.4.03","8.4","","","Coming soon"
"Building service engineering -> Electrical -> Lighting","3","8.4.04","8.4","","","Coming soon"
"Building service engineering -> Electrical -> Switches and sockets","3","8.4.02","8.4","","","Coming soon"
"Building service engineering -> End-of-life processes","2","8.7","8","Unsupported {OtherMaterials >> Unsupported}","",""
"Building service engineering -> End-of-life processes -> EoL conveyor","3","8.7.05","8.7","","",""
"Building service engineering -> End-of-life processes -> EoL electrical","3","8.7.04","8.7","","",""
"Building service engineering -> End-of-life processes -> EoL heat generator","3","8.7.01","8.7","","",""
"Building service engineering -> End-of-life processes -> EoL sanitary","3","8.7.03","8.7","","",""
"Building service engineering -> End-of-life processes -> EoL ventilation and air conitioning","3","8.7.02","8.7","","",""
"Building service engineering -> Heating","2","8.1","8","Unsupported {OtherMaterials >> Unsupported}","","Coming soon"
"Building service engineering -> Heating -> Heat distribution and dissipation","3","8.1.02","8.1","","","Coming soon"
"Building service engineering -> Heating -> Heat generator","3","8.1.01","8.1","","","Coming soon"
"Building service engineering -> Heating -> Storage","3","8.1.03","8.1","","","Coming soon"
"Building service engineering -> Sanitary","2","8.3","8","Unsupported {OtherMaterials >> Unsupported}","","Coming soon"
"Building service engineering -> Sanitary -> Mountings","3","8.3.02","8.3","","","Coming soon"
"Building service engineering -> Sanitary -> Sanitary ware","3","8.3.01","8.3","","","Coming soon"
"Building service engineering -> Sanitary -> Shower and bath tubs","3","8.3.03","8.3","","","Coming soon"
"Building service engineering -> Use","2","8.6","8","Unsupported {OtherMaterials >> Unsupported}","",""
"Building service engineering -> Use -> Use conveyor","3","8.6.05","8.6","","",""
"Building service engineering -> Use -> Use heat generator","3","8.6.01","8.6","","",""
"Building service engineering -> Use -> Use heat generator (EnEV)","3","8.6.06","8.6","","",""
"Building service engineering -> Use -> Use lighting","3","8.6.04","8.6","","",""
"Building service engineering -> Use -> Use mountings","3","8.6.03","8.6","","",""
"Building service engineering -> Use -> Use ventilation and air conitioning","3","8.6.02","8.6","","",""
"Components for windows and curtain walls","1","7","","","",""
"Components for windows and curtain walls -> Accessories for windows, walling and doors","2","7.11","7","Unsupported {OtherMaterials >> Unsupported}","",""
"Components for windows and curtain walls -> Accessories for windows, walling and doors -> Finger protection devices","3","7.11.02","7.11","","",""
"Components for windows and curtain walls -> Accessories for windows, walling and doors -> Fire resistance and smoke control devices","3","7.11.03","7.11","","",""
"Components for windows and curtain walls -> Accessories for windows, walling and doors -> Solar protection devices","3","7.11.01","7.11","","","OtherMaterials >> Exterior Sun Control Devices"
"Components for windows and curtain walls -> Daylight systems and smoke/heat control systems","2","7.10","7","Unsupported {OtherMaterials >> Unsupported}","","OtherMaterials >> Exterior Sun Control Devices"
"Components for windows and curtain walls -> Daylight systems and smoke/heat control systems -> Other daylight systems","3","7.10.03","7.10","","",""
"Components for windows and curtain walls -> Daylight systems and smoke/heat control systems -> Roof lights","3","7.10.01","7.10","","",""
"Components for windows and curtain walls -> Daylight systems and smoke/heat control systems -> Smoke and heat control systems","3","7.10.02","7.10","","",""
"Components for windows and curtain walls -> Doors","2","7.6","7","DoorsAndFrames {Openings >> Doors and Frames}","",""
"Components for windows and curtain walls -> Doors -> Aluminium","3","7.6.02","7.6","MetalDoorAndFrames {Openings >> Doors and Frames >> Metal Doors and Frames}","",""
"Components for windows and curtain walls -> Doors -> Plastic","3","7.6.04","7.6","DoorsAndFrames {Openings >> Doors and Frames}","",""
"Components for windows and curtain walls -> Doors -> Steel","3","7.6.01","7.6","MetalDoorAndFrames {Openings >> Doors and Frames >> Metal Doors and Frames}","",""
"Components for windows and curtain walls -> Doors -> Wood","3","7.6.03","7.6","WoodDoors {Openings >> Doors and Frames >> Wood Doors}","",""
"Components for windows and curtain walls -> Drive system","2","7.7","7","DoorsHardware {Accessories >> Doors Hardware}","",""
"Components for windows and curtain walls -> Drive system -> electrical","3","7.7.02","7.7","","",""
"Components for windows and curtain walls -> Drive system -> mechanical","3","7.7.01","7.7","","",""
"Components for windows and curtain walls -> End-of-life processes","2","7.5","7","Unsupported {OtherMaterials >> Unsupported}","",""
"Components for windows and curtain walls -> End-of-life processes -> EoL aluminium","3","7.5.02","7.5","Unsupported {OtherMaterials >> Unsupported}","",""
"Components for windows and curtain walls -> End-of-life processes -> EoL brass","3","7.5.04","7.5","Unsupported {OtherMaterials >> Unsupported}","",""
"Components for windows and curtain walls -> End-of-life processes -> EoL bronze","3","7.5.03","7.5","Unsupported {OtherMaterials >> Unsupported}","",""
"Components for windows and curtain walls -> End-of-life processes -> EoL stainless steel","3","7.5.05","7.5","Unsupported {OtherMaterials >> Unsupported}","",""
"Components for windows and curtain walls -> End-of-life processes -> EoL steel","3","7.5.01","7.5","Unsupported {OtherMaterials >> Unsupported}","",""
"Components for windows and curtain walls -> End-of-life processes -> EoL window","3","7.5.07","7.5","Unsupported {OtherMaterials >> Unsupported}","",""
"Components for windows and curtain walls -> End-of-life processes -> EoL zinc","3","7.5.06","7.5","Unsupported {OtherMaterials >> Unsupported}","",""
"Components for windows and curtain walls -> Frames / Profiles","2","7.1","7","FenestrationParts {Openings >> Glazing >> Parts}","",""
"Components for windows and curtain walls -> Frames / Profiles -> Aluminium","3","7.1.05","7.1","","",""
"Components for windows and curtain walls -> Frames / Profiles -> Aluminium thermally separated","3","7.1.06","7.1","","",""
"Components for windows and curtain walls -> Frames / Profiles -> Derived timber products","3","7.1.03","7.1","","",""
"Components for windows and curtain walls -> Frames / Profiles -> PVC","3","7.1.09","7.1","","",""
"Components for windows and curtain walls -> Frames / Profiles -> Polyurethane rigid foam","3","7.1.10","7.1","","",""
"Components for windows and curtain walls -> Frames / Profiles -> Steel","3","7.1.07","7.1","","",""
"Components for windows and curtain walls -> Frames / Profiles -> Steel galvanised","3","7.1.08","7.1","","",""
"Components for windows and curtain walls -> Frames / Profiles -> Wood","3","7.1.01","7.1","","",""
"Components for windows and curtain walls -> Frames / Profiles -> Wood thermally separated","3","7.1.02","7.1","","",""
"Components for windows and curtain walls -> Frames / Profiles -> Wood-aluminium","3","7.1.04","7.1","","",""
"Components for windows and curtain walls -> Infill","2","7.2","7","GlassPanes {Openings >> Glazing >> Panes}","",""
"Components for windows and curtain walls -> Infill -> Opaque fillings","3","7.2.02","7.2","","",""
"Components for windows and curtain walls -> Infill -> Transparent infill","3","7.2.01","7.2","","",""
"Components for windows and curtain walls -> Sealing components / materials","2","7.3","7","FenestrationAccessories {Openings >> Glazing >> Parts >> Accessories}","",""
"Components for windows and curtain walls -> Sealing components / materials -> Joint sealing tapes","3","7.3.04","7.3","","",""
"Components for windows and curtain walls -> Sealing components / materials -> Rubber seal","3","7.3.05","7.3","","",""
"Components for windows and curtain walls -> Sealing components / materials -> Sealing membranes","3","7.3.06","7.3","","",""
"Components for windows and curtain walls -> Sealing components / materials -> Sealing profiles","3","7.3.01","7.3","","",""
"Components for windows and curtain walls -> Sealing components / materials -> Sprayable sealant","3","7.3.02","7.3","","",""
"Components for windows and curtain walls -> Sealing components / materials -> Stop beads for rendering applications","3","7.3.07","7.3","","",""
"Components for windows and curtain walls -> Sealing components / materials -> Waterproof foam sealant","3","7.3.03","7.3","","",""
"Components for windows and curtain walls -> Walling","2","7.9","7","CurtainWalls {Openings >> Curtain Walls}","",""
"Components for windows and curtain walls -> Walling -> Curtain walling - stick construction","3","7.9.01","7.9","","",""
"Components for windows and curtain walls -> Walling -> Curtain walling - unitized walling","3","7.9.02","7.9","","",""
"Components for windows and curtain walls -> Walling -> Other walling","3","7.9.03","7.9","","",""
"Components for windows and curtain walls -> Window fittings","2","7.4","7","FenestrationHardware {Openings >> Glazing >> Parts >> Hardware}","",""
"Components for windows and curtain walls -> Window fittings -> Aluminium window fittings","3","7.4.02","7.4","","",""
"Components for windows and curtain walls -> Window fittings -> Brass window fittings","3","7.4.04","7.4","","",""
"Components for windows and curtain walls -> Window fittings -> Bronze window fittings","3","7.4.03","7.4","","",""
"Components for windows and curtain walls -> Window fittings -> Fastening materials","3","7.4.06","7.4","","",""
"Components for windows and curtain walls -> Window fittings -> Plastic fittings","3","7.4.09","7.4","","",""
"Components for windows and curtain walls -> Window fittings -> Stainless steal window fittings","3","7.4.05","7.4","","",""
"Components for windows and curtain walls -> Window fittings -> Steel window fittings","3","7.4.01","7.4","","",""
"Components for windows and curtain walls -> Window fittings -> Window handles","3","7.4.07","7.4","","",""
"Components for windows and curtain walls -> Window fittings -> Zinc fittings","3","7.4.08","7.4","","",""
"Components for windows and curtain walls -> Windows","2","7.8","7","Windows {Openings >> Glazing >> NAFS Fenestration >> Windows}","",""
"Components for windows and curtain walls -> Windows -> Metal windows","3","7.8.03","7.8","","",""
"Components for windows and curtain walls -> Windows -> Other windows","3","7.8.05","7.8","","",""
"Components for windows and curtain walls -> Windows -> Plastic windows","3","7.8.04","7.8","","",""
"Components for windows and curtain walls -> Windows -> Timber windows","3","7.8.01","7.8","","",""
"Components for windows and curtain walls -> Windows -> Timber-metal windows","3","7.8.02","7.8","","",""
"Composites","1","10","","","",""
"Composites -> System components","2","10.1","10","","",""
"Composites -> System components -> Ceilings","3","10.1.05","10.1","CeilingPanel {Finishes >> Ceiling Panels}","",""
"Composites -> System components -> Flooring","3","10.1.06","10.1","Flooring {Finishes >> Flooring}","",""
"Composites -> System components -> Inner walls","3","10.1.04","10.1","","",""
"Composites -> System components -> Outer walls","3","10.1.03","10.1","","",""
"Coverings","1","5","","","",""
"Coverings -> Bituminous paint","2","5.3","5","Unsupported {OtherMaterials >> Unsupported}","",""
"Coverings -> Bituminous paint -> Bituminous paint","3","5.3.01","5.3","Unsupported {OtherMaterials >> Unsupported}","",""
"Coverings -> End-of-life processes","2","5.7","5","Unsupported {OtherMaterials >> Unsupported}","",""
"Coverings -> End-of-life processes -> EoL primer","3","5.7.01","5.7","Unsupported {OtherMaterials >> Unsupported}","",""
"Coverings -> Facade paint","2","5.4","5","PaintingAndCoating {Finishes >> Painting and Coating}","",""
"Coverings -> Facade paint -> Dispersion","3","5.4.01","5.4","Unsupported {OtherMaterials >> Unsupported}","",""
"Coverings -> Facade paint -> Silicate dispersion","3","5.4.02","5.4","Unsupported {OtherMaterials >> Unsupported}","",""
"Coverings -> Facade paint -> Silicone resin","3","5.4.03","5.4","Unsupported {OtherMaterials >> Unsupported}","",""
"Coverings -> Fire protection","2","5.9","5","","",""
"Coverings -> Fire protection -> Interior and exterior coatings","3","5.9.01","5.9","PaintingAndCoating {Finishes >> Painting and Coating}","",""
"Coverings -> Floor finishes","2","5.2","5","Flooring {Finishes >> Flooring}","",""
"Coverings -> Interior covering","2","5.5","5","WallFinishes {Finishes >> Wall Finishes}","",""
"Coverings -> Interior covering -> Dispersion glue","3","5.5.03","5.5","Unsupported {OtherMaterials >> Unsupported}","",""
"Coverings -> Interior covering -> Interior paint","3","5.5.02","5.5","PaintingAndCoating {Finishes >> Painting and Coating}","",""
"Coverings -> Interior covering -> Wall and ceiling covering","3","5.5.01","5.5","WallFinishes {Finishes >> Wall Finishes}","",""
"Coverings -> Primer","2","5.1","5","PaintingAndCoating {Finishes >> Painting and Coating}","",""
"Coverings -> Primer -> Primer for paints and plasters","3","5.1.01","5.1","PaintingAndCoating {Finishes >> Painting and Coating}","",""
"Coverings -> Reactive resin","2","5.8","5","PaintingAndCoating {Finishes >> Painting and Coating}","",""
"Coverings -> Reactive resin -> Reaction resin on methacrylate basis","3","5.8.03","5.8","","",""
"Coverings -> Reactive resin -> Reaction resin on polyurethane basis","3","5.8.02","5.8","","",""
"Coverings -> Reactive resin -> Reactive resin on epoxy basis","3","5.8.01","5.8","","",""
"Coverings -> Varnishes and stains","2","5.6","5","PaintingAndCoating {Finishes >> Painting and Coating}","",""
"Coverings -> Varnishes and stains -> Parquet varnish","3","5.6.03","5.6","","",""
"Coverings -> Varnishes and stains -> Varnish systems for metals","3","5.6.04","5.6","","",""
"Coverings -> Varnishes and stains -> Varnish systems for wooden facade","3","5.6.02","5.6","","",""
"Coverings -> Varnishes and stains -> Varnish systems for wooden windows","3","5.6.01","5.6","","",""
"End of Life","1","100","","Unsupported {OtherMaterials >> Unsupported}","",""
"End of Life -> Generic","2","100.1","100","","",""
"End of Life -> Generic -> Building service engineering","3","100.1.08","100.1","","",""
"End of Life -> Generic -> Construction waste","3","100.1.01","100.1","","",""
"End of Life -> Generic -> Consumer waste","3","100.1.02","100.1","","",""
"End of Life -> Generic -> Metals","3","100.1.04","100.1","","",""
"End of Life -> Generic -> Plastics","3","100.1.06","100.1","","",""
"End of Life -> Generic -> Wood","3","100.1.03","100.1","","",""
"Insulation materials","1","2","","Insulation {Thermal/Moisture Prot. >> Insulation}","",""
"Insulation materials -> Calcium silicate / Calcium-","2","2.20","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Calcium silicate / Calcium- -> Aerated concrete","3","2.20.01","2.20","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Calcium silicate / Calcium- -> Calcium silicate","3","2.20.02","2.20","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Cellulose fibre","2","2.11","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Cellulose""",""
"Insulation materials -> Cellulose fibre -> Cellulose insulation (loose fill)","3","2.11.01","2.11","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""Cellulose""",""
"Insulation materials -> Cellulose fibre -> Cellulose insulation (panels)","3","2.11.02","2.11","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""Cellulose""",""
"Insulation materials -> Cotton","2","2.14","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Cotton -> Conventional Cotton","3","2.14.01","2.14","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Cotton -> Organic cotton","3","2.14.02","2.14","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> End-of-life processes","2","2.22","2","Unsupported {OtherMaterials >> Unsupported}","",""
"Insulation materials -> End-of-life processes -> EoL EPS","3","2.22.06","2.22","Unsupported {OtherMaterials >> Unsupported}","",""
"Insulation materials -> End-of-life processes -> EoL ETICS","3","2.22.05","2.22","Unsupported {OtherMaterials >> Unsupported}","",""
"Insulation materials -> End-of-life processes -> EoL ETICS dowel","3","2.22.04","2.22","Unsupported {OtherMaterials >> Unsupported}","",""
"Insulation materials -> End-of-life processes -> EoL glass wool","3","2.22.02","2.22","Unsupported {OtherMaterials >> Unsupported}","",""
"Insulation materials -> End-of-life processes -> EoL rock wool","3","2.22.03","2.22","Unsupported {OtherMaterials >> Unsupported}","",""
"Insulation materials -> End-of-life processes -> EoL wood fibre insulation boards","3","2.22.01","2.22","Unsupported {OtherMaterials >> Unsupported}","",""
"Insulation materials -> End-of-life processes -> EoL wood wool","3","2.22.07","2.22","Unsupported {OtherMaterials >> Unsupported}","",""
"Insulation materials -> Expanded cork","2","2.9","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Expanded cork -> Expanded cork","3","2.9.01","2.9","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Expanded perlit","2","2.8","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Expanded perlit -> Granulate","3","2.8.02","2.8","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Expanded perlit -> Panels","3","2.8.01","2.8","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Expanded polystyrene","2","2.2","2","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","",""
"Insulation materials -> Expanded polystyrene -> EPS grey","3","2.2.02","2.2","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""EPS""",""
"Insulation materials -> Expanded polystyrene -> EPS grey-white","3","2.2.03","2.2","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""EPS""",""
"Insulation materials -> Expanded polystyrene -> EPS white","3","2.2.01","2.2","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""EPS""",""
"Insulation materials -> Extruded polystyrene","2","2.3","2","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""XPS""",""
"Insulation materials -> Extruded polystyrene -> XPS white","3","2.3.01","2.3","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""XPS""",""
"Insulation materials -> Flax fibre","2","2.12","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Flax fibre -> Flax fibre mat","3","2.12.01","2.12","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Foam glass","2","2.6","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Foam glass -> Panels","3","2.6.01","2.6","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""Wood Fiber""",""
"Insulation materials -> Hemp","2","2.13","2","BlownInsulation {Thermal/Moisture Prot. >> Insulation >> Blown}","insulating_material = ""Other""",""
"Insulation materials -> Hemp -> Hemp fibre mat","3","2.13.01","2.13","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Insulation elements","2","2.25","2","","",""
"Insulation materials -> Insulation elements -> Isokorb thermal breaks","3","2.25.01","2.25","","",""
"Insulation materials -> Insulation foam","2","2.26","2","FoamedInPlace {Thermal/Moisture Prot. >> Insulation >> Foamed-In-Place}","",""
"Insulation materials -> Insulation foam -> mineral","3","2.26.01","2.26","FoamedInPlace {Thermal/Moisture Prot. >> Insulation >> Foamed-In-Place}","",""
"Insulation materials -> Melamine resin","2","2.17","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Melamine resin -> Melamine foam","3","2.17.01","2.17","FoamedInPlace {Thermal/Moisture Prot. >> Insulation >> Foamed-In-Place}","insulating_material = ""Other""",""
"Insulation materials -> Mineral wool","2","2.1","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Mineral Wool""",""
"Insulation materials -> Mineral wool -> Glass wool","3","2.1.02","2.1","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Fiberglass""",""
"Insulation materials -> Mineral wool -> Mineral wool","3","2.1.01","2.1","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Mineral Wool""",""
"Insulation materials -> Mineral wool -> Rock wool","3","2.1.03","2.1","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Mineral Wool""",""
"Insulation materials -> Polyethylene","2","2.18","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Expanded Polyethylene""",""
"Insulation materials -> Polyethylene -> Foam","3","2.18.01","2.18","FoamedInPlace {Thermal/Moisture Prot. >> Insulation >> Foamed-In-Place}","insulating_material = ""Expanded Polyethylene""",""
"Insulation materials -> Polyurethane rigid foam","2","2.4","2","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""Other""",""
"Insulation materials -> Polyurethane rigid foam -> PIR rigid foam","3","2.4.04","2.4","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""Polyisocyanurate""",""
"Insulation materials -> Polyurethane rigid foam -> PU slabstock foam","3","2.4.03","2.4","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""Other""",""
"Insulation materials -> Polyurethane rigid foam -> PU with aluminium","3","2.4.01","2.4","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""Other""",""
"Insulation materials -> Polyurethane rigid foam -> PU with mineral fibre","3","2.4.02","2.4","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""Other""",""
"Insulation materials -> Rigid phenolic foam","2","2.5","2","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""Other""",""
"Insulation materials -> Rigid phenolic foam -> Phenolic foam boards","3","2.5.01","2.5","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""Other""",""
"Insulation materials -> Rubber","2","2.19","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Rubber -> Foam","3","2.19.01","2.19","FoamedInPlace {Thermal/Moisture Prot. >> Insulation >> Foamed-In-Place}","insulating_material = ""Other""",""
"Insulation materials -> Sheep wool","2","2.15","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
"Insulation materials -> Silicium dioxide based","2","2.24","2","","",""
"Insulation materials -> Silicium dioxide based -> Hydrophobic panels","3","2.24.02","2.24","","",""
"Insulation materials -> Silicium dioxide based -> Vacuum insulation panels","3","2.24.01","2.24","","",""
"Insulation materials -> Straw","2","2.23","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Other""",""
